Feature,Importance
cat__Store_17,2.877715704202795e-06
num__Rolling_26_Week_Std_Sales_Missing_Flag,2.8067632379620684e-06
cat__Dept_32,2.7205114324975027e-06
cat__Dept_23,2.678828997301801e-06
cat__Store_23,2.5933946847083853e-06
num__Lag_4_Week_Sales_Missing_Flag,2.497577204254077e-06
cat__Store_22,2.4678554906178252e-06
cat__Dept_55,2.457387782543979e-06
num__Sales_Trend_4_13_Missing_Flag,2.360845242003485e-06
cat__Store_18,2.331733513152106e-06
cat__Dept_94,2.013501253527599e-06
cat__Store_24,1.9066921954743235e-06
num__Rolling_4_Week_Std_Sales_Missing_Flag,1.8212082302404032e-06
cat__Dept_14,1.7800440813157627e-06
cat__Store_27,1.7166060972009545e-06
cat__Dept_59,1.674104852275417e-06
num__Lag_4_Missing_Flag,1.618515701403748e-06
num__Store_Dept_Expanding_Std_Missing_Flag,1.3977461068672306e-06
cat__Dept_96,1.2471287572812794e-06
cat__Store_36,1.1191254175870158e-06
cat__Dept_74,9.971486063141311e-07
cat__Dept_87,9.721145553730006e-07
cat__Store_19,9.036829834504791e-07
cat__Store_12,8.952963971506859e-07
cat__Store_26,8.942344922093866e-07
cat__Dept_49,8.870727196511911e-07
num__Store_Expanding_Mean_Missing_Flag,8.723490483286812e-07
cat__Store_32,8.600817073922403e-07
cat__Store_45,8.478339431012723e-07
cat__Store_39,8.433954485732678e-07
cat__Store_7,7.970224131878366e-07
cat__Dept_71,7.473817875694337e-07
cat__Dept_4,7.376857425880666e-07
cat__Store_3,7.346527776520275e-07
cat__Store_41,6.545320255651946e-07
num__Store_Expanding_Std_Missing_Flag,6.17144991989234e-07
cat__Store_6,5.857084985240524e-07
cat__Store_11,5.228243892623042e-07
cat__Store_16,4.860732499055441e-07
cat__Store_8,4.565537512932615e-07
cat__Dept_24,4.523336082469666e-07
cat__Store_40,4.3710908156240534e-07
cat__Store_21,4.362998621841557e-07
cat__Dept_10,4.223514065223704e-07
cat__Dept_34,4.1144501354313845e-07
cat__Dept_46,4.0010851782576826e-07
cat__Store_42,3.7517678013090155e-07
cat__Dept_97,3.736365730661076e-07
cat__Dept_31,3.448384892578105e-07
cat__Store_43,3.213714804789562e-07
cat__Dept_12,3.1807873263227934e-07
cat__Dept_22,2.549049616050698e-07
cat__Dept_33,2.4192310013146884e-07
cat__Dept_25,2.404618380889088e-07
cat__Dept_36,2.399423281651706e-07
cat__Store_31,2.3548498308023293e-07
cat__Store_9,2.2876807794019428e-07
cat__Dept_48,2.0955113969729433e-07
cat__Dept_8,1.830430193415025e-07
cat__Store_25,1.8228907910640814e-07
cat__Dept_81,1.7128047541023504e-07
cat__Store_34,1.4984832998829658e-07
cat__Dept_26,1.3757876405784524e-07
cat__Dept_41,1.2868509687692193e-07
cat__Dept_80,1.0142433407770724e-07
cat__Dept_42,9.696806459527454e-08
cat__Dept_17,9.602052492366561e-08
cat__Store_30,8.100449428517125e-08
cat__Dept_27,7.679599733200856e-08
cat__Dept_85,7.292171574706381e-08
cat__Dept_20,6.626081334055268e-08
cat__Dept_83,5.828615894378916e-08
cat__Dept_30,4.683772278539672e-08
cat__Store_38,4.52431752160208e-08
