Model,MAE,RMSE,R2,MAPE,WMAE,Forecast_Bias,MAE_Forecast_Skill_vs_Naive,RMSE_Forecast_Skill_vs_Naive,WMAE_Forecast_Skill_vs_Naive
Naive Baseline,1598.0517068139704,3599.552739288014,0.9731271955290793,1144.6486742880402,1660.8605890061738,94.37679555757556,0.0,0.0,0.0
Model 1 - Linear Regression,1859.4365984402023,3430.3383349311034,0.9755943812077286,4728.089407793074,1933.4748021024586,391.3235855062433,-0.1635647272936831,0.04700984167004618,-0.16414033477632928
Model 2 - Tuned Random Forest,1305.2662886315838,2739.944614203265,0.9844296104547805,1196.5622694363312,1330.2611406093006,449.1453855348226,0.18321398296060876,0.23880970424530534,0.19905309969134577
